Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,Germany, Amarilla , None ," $1.686,00 "," $260,00 "," $7,00 "," $11.802,00 ", $7," $11.802,00 "," $8.430,00 "," $3.372,00 ",1/7/2014,7, July ,2014
Channel Partners,United States of America, Amarilla , None ," $2.141,00 "," $260,00 "," $12,00 "," $25.692,00 ", $12," $25.692,00 "," $6.423,00 "," $19.269,00 ",1/8/2014,8, August ,2014
Government,United States of America, Amarilla , None ," $1.143,00 "," $260,00 "," $7,00 "," $8.001,00 ", $7," $8.001,00 "," $5.715,00 "," $2.286,00 ",1/10/2014,10, October ,2014
Midmarket,United States of America, Amarilla , None ," $615,00 "," $260,00 "," $15,00 "," $9.225,00 ", $15," $9.225,00 "," $6.150,00 "," $3.075,00 ",1/12/2014,12, December ,2014
Government,France, Paseo , Low ," $3.945,00 "," $10,00 "," $7,00 "," $27.615,00 ", $7," $27.338,85 "," $19.725,00 "," $7.613,85 ",1/1/2014,1, January ,2014
Midmarket,France, Paseo , Low ," $2.296,00 "," $10,00 "," $15,00 "," $34.440,00 ", $15," $34.095,60 "," $22.960,00 "," $11.135,60 ",1/2/2014,2, February ,2014
Government,France, Paseo , Low ," $1.030,00 "," $10,00 "," $7,00 "," $7.210,00 ", $7," $7.137,90 "," $5.150,00 "," $1.987,90 ",1/5/2014,5, May ,2014
Government,France, Velo , Low ," $639,00 "," $120,00 "," $7,00 "," $4.473,00 ", $7," $4.428,27 "," $3.195,00 "," $1.233,27 ",1/11/2014,11, November ,2014
Government,Canada, VTT , Low ," $1.326,00 "," $250,00 "," $7,00 "," $9.282,00 ", $7," $9.189,18 "," $6.630,00 "," $2.559,18 ",1/3/2014,3, March ,2014
Channel Partners,United States of America, Carretera , Low ," $1.858,00 "," $3,00 "," $12,00 "," $22.296,00 ", $12," $22.073,04 "," $5.574,00 "," $16.499,04 ",1/2/2014,2, February ,2014
Government,Mexico, Carretera , Low ," $1.210,00 "," $3,00 "," $350,00 "," $423.500,00 ", $350," $419.265,00 "," $314.600,00 "," $104.665,00 ",1/3/2014,3, March ,2014
Government,United States of America, Carretera , Low ," $2.529,00 "," $3,00 "," $7,00 "," $17.703,00 ", $7," $17.525,97 "," $12.645,00 "," $4.880,97 ",1/7/2014,7, July ,2014
Channel Partners,Canada, Carretera , Low ," $1.445,00 "," $3,00 "," $12,00 "," $17.340,00 ", $12," $17.166,60 "," $4.335,00 "," $12.831,60 ",1/9/2014,9, September ,2014
Enterprise,United States of America, Carretera , Low ," $330,00 "," $3,00 "," $125,00 "," $41.250,00 ", $125," $40.837,50 "," $39.600,00 "," $1.237,50 ",1/9/2013,9, September ,2013
Channel Partners,France, Carretera , Low ," $2.671,00 "," $3,00 "," $12,00 "," $32.052,00 ", $12," $31.731,48 "," $8.013,00 "," $23.718,48 ",1/9/2014,9, September ,2014
Channel Partners,Germany, Carretera , Low ," $766,00 "," $3,00 "," $12,00 "," $9.192,00 ", $12," $9.100,08 "," $2.298,00 "," $6.802,08 ",1/10/2013,10, October ,2013
Small Business,Mexico, Carretera , Low ," $494,00 "," $3,00 "," $300,00 "," $148.200,00 ", $300," $146.718,00 "," $123.500,00 "," $23.218,00 ",1/10/2013,10, October ,2013
Government,Mexico, Carretera , Low ," $1.397,00 "," $3,00 "," $350,00 "," $488.950,00 ", $350," $484.060,50 "," $363.220,00 "," $120.840,50 ",1/10/2014,10, October ,2014
Government,France, Carretera , Low ," $2.155,00 "," $3,00 "," $350,00 "," $754.250,00 ", $350," $746.707,50 "," $560.300,00 "," $186.407,50 ",1/12/2014,12, December ,2014
Midmarket,Mexico, Montana , Low ," $2.214,00 "," $5,00 "," $15,00 "," $33.210,00 ", $15," $32.877,90 "," $22.140,00 "," $10.737,90 ",1/3/2014,3, March ,2014
Small Business,United States of America, Montana , Low ," $2.301,00 "," $5,00 "," $300,00 "," $690.300,00 ", $300," $683.397,00 "," $575.250,00 "," $108.147,00 ",1/4/2014,4, April ,2014
Government,France, Montana , Low ," $1.375,50 "," $5,00 "," $20,00 "," $27.510,00 ", $20," $27.234,90 "," $13.755,00 "," $13.479,90 ",1/7/2014,7, July ,2014
Government,Canada, Montana , Low ," $1.830,00 "," $5,00 "," $7,00 "," $12.810,00 ", $7," $12.681,90 "," $9.150,00 "," $3.531,90 ",1/8/2014,8, August ,2014
Small Business,United States of America, Montana , Low ," $2.498,00 "," $5,00 "," $300,00 "," $749.400,00 ", $300," $741.906,00 "," $624.500,00 "," $117.406,00 ",1/9/2013,9, September ,2013
Enterprise,United States of America, Montana , Low ," $663,00 "," $5,00 "," $125,00 "," $82.875,00 ", $125," $82.046,25 "," $79.560,00 "," $2.486,25 ",1/10/2013,10, October ,2013
Midmarket,United States of America, Paseo , Low ," $1.514,00 "," $10,00 "," $15,00 "," $22.710,00 ", $15," $22.482,90 "," $15.140,00 "," $7.342,90 ",1/2/2014,2, February ,2014
Government,United States of America, Paseo , Low ," $4.492,50 "," $10,00 "," $7,00 "," $31.447,50 ", $7," $31.133,03 "," $22.462,50 "," $8.670,53 ",1/4/2014,4, April ,2014
Enterprise,United States of America, Paseo , Low ," $727,00 "," $10,00 "," $125,00 "," $90.875,00 ", $125," $89.966,25 "," $87.240,00 "," $2.726,25 ",1/6/2014,6, June ,2014
Enterprise,France, Paseo , Low ," $787,00 "," $10,00 "," $125,00 "," $98.375,00 ", $125," $97.391,25 "," $94.440,00 "," $2.951,25 ",1/6/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ," $1.823,00 "," $10,00 "," $125,00 "," $227.875,00 ", $125," $225.596,25 "," $218.760,00 "," $6.836,25 ",1/7/2014,7, July ,2014
Midmarket,Germany, Paseo , Low ," $747,00 "," $10,00 "," $15,00 "," $11.205,00 ", $15," $11.092,95 "," $7.470,00 "," $3.622,95 ",1/9/2014,9, September ,2014
Channel Partners,Germany, Paseo , Low ," $766,00 "," $10,00 "," $12,00 "," $9.192,00 ", $12," $9.100,08 "," $2.298,00 "," $6.802,08 ",1/10/2013,10, October ,2013
Small Business,United States of America, Paseo , Low ," $2.905,00 "," $10,00 "," $300,00 "," $871.500,00 ", $300," $862.785,00 "," $726.250,00 "," $136.535,00 ",1/11/2014,11, November ,2014
Government,France, Paseo , Low ," $2.155,00 "," $10,00 "," $350,00 "," $754.250,00 ", $350," $746.707,50 "," $560.300,00 "," $186.407,50 ",1/12/2014,12, December ,2014
Government,France, Velo , Low ," $3.864,00 "," $120,00 "," $20,00 "," $77.280,00 ", $20," $76.507,20 "," $38.640,00 "," $37.867,20 ",1/4/2014,4, April ,2014
Government,Mexico, Velo , Low ," $362,00 "," $120,00 "," $7,00 "," $2.534,00 ", $7," $2.508,66 "," $1.810,00 "," $698,66 ",1/5/2014,5, May ,2014
Enterprise,Canada, Velo , Low ," $923,00 "," $120,00 "," $125,00 "," $115.375,00 ", $125," $114.221,25 "," $110.760,00 "," $3.461,25 ",1/8/2014,8, August ,2014
Enterprise,United States of America, Velo , Low ," $663,00 "," $120,00 "," $125,00 "," $82.875,00 ", $125," $82.046,25 "," $79.560,00 "," $2.486,25 ",1/10/2013,10, October ,2013
Government,Canada, Velo , Low ," $2.092,00 "," $120,00 "," $7,00 "," $14.644,00 ", $7," $14.497,56 "," $10.460,00 "," $4.037,56 ",1/11/2013,11, November ,2013
Government,Germany, VTT , Low ," $263,00 "," $250,00 "," $7,00 "," $1.841,00 ", $7," $1.822,59 "," $1.315,00 "," $507,59 ",1/3/2014,3, March ,2014
Government,Canada, VTT , Low ," $943,50 "," $250,00 "," $350,00 "," $330.225,00 ", $350," $326.922,75 "," $245.310,00 "," $81.612,75 ",1/4/2014,4, April ,2014
Enterprise,United States of America, VTT , Low ," $727,00 "," $250,00 "," $125,00 "," $90.875,00 ", $125," $89.966,25 "," $87.240,00 "," $2.726,25 ",1/6/2014,6, June ,2014
Enterprise,France, VTT , Low ," $787,00 "," $250,00 "," $125,00 "," $98.375,00 ", $125," $97.391,25 "," $94.440,00 "," $2.951,25 ",1/6/2014,6, June ,2014
Small Business,Germany, VTT , Low ," $986,00 "," $250,00 "," $300,00 "," $295.800,00 ", $300," $292.842,00 "," $246.500,00 "," $46.342,00 ",1/9/2014,9, September ,2014
Small Business,Mexico, VTT , Low ," $494,00 "," $250,00 "," $300,00 "," $148.200,00 ", $300," $146.718,00 "," $123.500,00 "," $23.218,00 ",1/10/2013,10, October ,2013
Government,Mexico, VTT , Low ," $1.397,00 "," $250,00 "," $350,00 "," $488.950,00 ", $350," $484.060,50 "," $363.220,00 "," $120.840,50 ",1/10/2014,10, October ,2014
Enterprise,France, VTT , Low ," $1.744,00 "," $250,00 "," $125,00 "," $218.000,00 ", $125," $215.820,00 "," $209.280,00 "," $6.540,00 ",1/11/2014,11, November ,2014
Channel Partners,United States of America, Amarilla , Low ," $1.989,00 "," $260,00 "," $12,00 "," $23.868,00 ", $12," $23.629,32 "," $5.967,00 "," $17.662,32 ",1/9/2013,9, September ,2013
Midmarket,France, Amarilla , Low ," $321,00 "," $260,00 "," $15,00 "," $4.815,00 ", $15," $4.766,85 "," $3.210,00 "," $1.556,85 ",1/11/2013,11, November ,2013
Enterprise,Canada, Carretera , Low ," $742,50 "," $3,00 "," $125,00 "," $92.812,50 ", $125," $90.956,25 "," $89.100,00 "," $1.856,25 ",1/4/2014,4, April ,2014
Channel Partners,Canada, Carretera , Low ," $1.295,00 "," $3,00 "," $12,00 "," $15.540,00 ", $12," $15.229,20 "," $3.885,00 "," $11.344,20 ",1/10/2014,10, October ,2014
Small Business,Germany, Carretera , Low ," $214,00 "," $3,00 "," $300,00 "," $64.200,00 ", $300," $62.916,00 "," $53.500,00 "," $9.416,00 ",1/10/2013,10, October ,2013
Government,France, Carretera , Low ," $2.145,00 "," $3,00 "," $7,00 "," $15.015,00 ", $7," $14.714,70 "," $10.725,00 "," $3.989,70 ",1/11/2013,11, November ,2013
Government,Canada, Carretera , Low ," $2.852,00 "," $3,00 "," $350,00 "," $998.200,00 ", $350," $978.236,00 "," $741.520,00 "," $236.716,00 ",1/12/2014,12, December ,2014
Channel Partners,United States of America, Montana , Low ," $1.142,00 "," $5,00 "," $12,00 "," $13.704,00 ", $12," $13.429,92 "," $3.426,00 "," $10.003,92 ",1/6/2014,6, June ,2014
Government,United States of America, Montana , Low ," $1.566,00 "," $5,00 "," $20,00 "," $31.320,00 ", $20," $30.693,60 "," $15.660,00 "," $15.033,60 ",1/10/2014,10, October ,2014
Channel Partners,Mexico, Montana , Low ," $690,00 "," $5,00 "," $12,00 "," $8.280,00 ", $12," $8.114,40 "," $2.070,00 "," $6.044,40 ",1/11/2014,11, November ,2014
Enterprise,Mexico, Montana , Low ," $1.660,00 "," $5,00 "," $125,00 "," $207.500,00 ", $125," $203.350,00 "," $199.200,00 "," $4.150,00 ",1/11/2013,11, November ,2013
Midmarket,Canada, Paseo , Low ," $2.363,00 "," $10,00 "," $15,00 "," $35.445,00 ", $15," $34.736,10 "," $23.630,00 "," $11.106,10 ",1/2/2014,2, February ,2014
Small Business,France, Paseo , Low ," $918,00 "," $10,00 "," $300,00 "," $275.400,00 ", $300," $269.892,00 "," $229.500,00 "," $40.392,00 ",1/5/2014,5, May ,2014
Small Business,Germany, Paseo , Low ," $1.728,00 "," $10,00 "," $300,00 "," $518.400,00 ", $300," $508.032,00 "," $432.000,00 "," $76.032,00 ",1/5/2014,5, May ,2014
Channel Partners,United States of America, Paseo , Low ," $1.142,00 "," $10,00 "," $12,00 "," $13.704,00 ", $12," $13.429,92 "," $3.426,00 "," $10.003,92 ",1/6/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ," $662,00 "," $10,00 "," $125,00 "," $82.750,00 ", $125," $81.095,00 "," $79.440,00 "," $1.655,00 ",1/6/2014,6, June ,2014
Channel Partners,Canada, Paseo , Low ," $1.295,00 "," $10,00 "," $12,00 "," $15.540,00 ", $12," $15.229,20 "," $3.885,00 "," $11.344,20 ",1/10/2014,10, October ,2014
Enterprise,Germany, Paseo , Low ," $809,00 "," $10,00 "," $125,00 "," $101.125,00 ", $125," $99.102,50 "," $97.080,00 "," $2.022,50 ",1/10/2013,10, October ,2013
Enterprise,Mexico, Paseo , Low ," $2.145,00 "," $10,00 "," $125,00 "," $268.125,00 ", $125," $262.762,50 "," $257.400,00 "," $5.362,50 ",1/10/2013,10, October ,2013
Channel Partners,France, Paseo , Low ," $1.785,00 "," $10,00 "," $12,00 "," $21.420,00 ", $12," $20.991,60 "," $5.355,00 "," $15.636,60 ",1/11/2013,11, November ,2013
Small Business,Canada, Paseo , Low ," $1.916,00 "," $10,00 "," $300,00 "," $574.800,00 ", $300," $563.304,00 "," $479.000,00 "," $84.304,00 ",1/12/2014,12, December ,2014
Government,Canada, Paseo , Low ," $2.852,00 "," $10,00 "," $350,00 "," $998.200,00 ", $350," $978.236,00 "," $741.520,00 "," $236.716,00 ",1/12/2014,12, December ,2014
Enterprise,Canada, Paseo , Low ," $2.729,00 "," $10,00 "," $125,00 "," $341.125,00 ", $125," $334.302,50 "," $327.480,00 "," $6.822,50 ",1/12/2014,12, December ,2014
Midmarket,United States of America, Paseo , Low ," $1.925,00 "," $10,00 "," $15,00 "," $28.875,00 ", $15," $28.297,50 "," $19.250,00 "," $9.047,50 ",1/12/2013,12, December ,2013
Government,United States of America, Paseo , Low ," $2.013,00 "," $10,00 "," $7,00 "," $14.091,00 ", $7," $13.809,18 "," $10.065,00 "," $3.744,18 ",1/12/2013,12, December ,2013
Channel Partners,France, Paseo , Low ," $1.055,00 "," $10,00 "," $12,00 "," $12.660,00 ", $12," $12.406,80 "," $3.165,00 "," $9.241,80 ",1/12/2014,12, December ,2014
Channel Partners,Mexico, Paseo , Low ," $1.084,00 "," $10,00 "," $12,00 "," $13.008,00 ", $12," $12.747,84 "," $3.252,00 "," $9.495,84 ",1/12/2014,12, December ,2014
Government,United States of America, Velo , Low ," $1.566,00 "," $120,00 "," $20,00 "," $31.320,00 ", $20," $30.693,60 "," $15.660,00 "," $15.033,60 ",1/10/2014,10, October ,2014
Government,Germany, Velo , Low ," $2.966,00 "," $120,00 "," $350,00 "," $1.038.100,00 ", $350," $1.017.338,00 "," $771.160,00 "," $246.178,00 ",1/10/2013,10, October ,2013
Government,Germany, Velo , Low ," $2.877,00 "," $120,00 "," $350,00 "," $1.006.950,00 ", $350," $986.811,00 "," $748.020,00 "," $238.791,00 ",1/10/2014,10, October ,2014
Enterprise,Germany, Velo , Low ," $809,00 "," $120,00 "," $125,00 "," $101.125,00 ", $125," $99.102,50 "," $97.080,00 "," $2.022,50 ",1/10/2013,10, October ,2013
Enterprise,Mexico, Velo , Low ," $2.145,00 "," $120,00 "," $125,00 "," $268.125,00 ", $125," $262.762,50 "," $257.400,00 "," $5.362,50 ",1/10/2013,10, October ,2013
Channel Partners,France, Velo , Low ," $1.055,00 "," $120,00 "," $12,00 "," $12.660,00 ", $12," $12.406,80 "," $3.165,00 "," $9.241,80 ",1/12/2014,12, December ,2014
Government,Mexico, Velo , Low ," $544,00 "," $120,00 "," $20,00 "," $10.880,00 ", $20," $10.662,40 "," $5.440,00 "," $5.222,40 ",1/12/2013,12, December ,2013
Channel Partners,Mexico, Velo , Low ," $1.084,00 "," $120,00 "," $12,00 "," $13.008,00 ", $12," $12.747,84 "," $3.252,00 "," $9.495,84 ",1/12/2014,12, December ,2014
Enterprise,Mexico, VTT , Low ," $662,00 "," $250,00 "," $125,00 "," $82.750,00 ", $125," $81.095,00 "," $79.440,00 "," $1.655,00 ",1/6/2014,6, June ,2014
Small Business,Germany, VTT , Low ," $214,00 "," $250,00 "," $300,00 "," $64.200,00 ", $300," $62.916,00 "," $53.500,00 "," $9.416,00 ",1/10/2013,10, October ,2013
Government,Germany, VTT , Low ," $2.877,00 "," $250,00 "," $350,00 "," $1.006.950,00 ", $350," $986.811,00 "," $748.020,00 "," $238.791,00 ",1/10/2014,10, October ,2014
Enterprise,Canada, VTT , Low ," $2.729,00 "," $250,00 "," $125,00 "," $341.125,00 ", $125," $334.302,50 "," $327.480,00 "," $6.822,50 ",1/12/2014,12, December ,2014
Government,United States of America, VTT , Low ," $266,00 "," $250,00 "," $350,00 "," $93.100,00 ", $350," $91.238,00 "," $69.160,00 "," $22.078,00 ",1/12/2013,12, December ,2013
Government,Mexico, VTT , Low ," $1.940,00 "," $250,00 "," $350,00 "," $679.000,00 ", $350," $665.420,00 "," $504.400,00 "," $161.020,00 ",1/12/2013,12, December ,2013
Small Business,Germany, Amarilla , Low ," $259,00 "," $260,00 "," $300,00 "," $77.700,00 ", $300," $76.146,00 "," $64.750,00 "," $11.396,00 ",1/3/2014,3, March ,2014
Small Business,Mexico, Amarilla , Low ," $1.101,00 "," $260,00 "," $300,00 "," $330.300,00 ", $300," $323.694,00 "," $275.250,00 "," $48.444,00 ",1/3/2014,3, March ,2014
Enterprise,Germany, Amarilla , Low ," $2.276,00 "," $260,00 "," $125,00 "," $284.500,00 ", $125," $278.810,00 "," $273.120,00 "," $5.690,00 ",1/5/2014,5, May ,2014
Government,Germany, Amarilla , Low ," $2.966,00 "," $260,00 "," $350,00 "," $1.038.100,00 ", $350," $1.017.338,00 "," $771.160,00 "," $246.178,00 ",1/10/2013,10, October ,2013
Government,United States of America, Amarilla , Low ," $1.236,00 "," $260,00 "," $20,00 "," $24.720,00 ", $20," $24.225,60 "," $12.360,00 "," $11.865,60 ",1/11/2014,11, November ,2014
Government,France, Amarilla , Low ," $941,00 "," $260,00 "," $20,00 "," $18.820,00 ", $20," $18.443,60 "," $9.410,00 "," $9.033,60 ",1/11/2014,11, November ,2014
Small Business,Canada, Amarilla , Low ," $1.916,00 "," $260,00 "," $300,00 "," $574.800,00 ", $300," $563.304,00 "," $479.000,00 "," $84.304,00 ",1/12/2014,12, December ,2014
Enterprise,France, Carretera , Low ," $4.243,50 "," $3,00 "," $125,00 "," $530.437,50 ", $125," $514.524,38 "," $509.220,00 "," $5.304,38 ",1/4/2014,4, April ,2014
Government,Germany, Carretera , Low ," $2.580,00 "," $3,00 "," $20,00 "," $51.600,00 ", $20," $50.052,00 "," $25.800,00 "," $24.252,00 ",1/4/2014,4, April ,2014
Small Business,Germany, Carretera , Low ," $689,00 "," $3,00 "," $300,00 "," $206.700,00 ", $300," $200.499,00 "," $172.250,00 "," $28.249,00 ",1/6/2014,6, June ,2014
